X,pop,abs,tempo,conc,experiment,abs_norm,n_parasitos,n_base
373,REF,0.151,120,75,EXP1,0.15271428571428572,494387.2778297474,500000
374,C76,0.189,120,75,EXP1,0.18371428571428572,514385.6920684292,500000
375,C67,0.172,120,75,EXP1,0.174,494252.8735632184,500000
376,C68,0.153,120,75,EXP1,0.16428571428571428,465652.17391304346,500000
377,REF,0.158,120,100,EXP1,0.16128571428571428,489813.99468556244,500000
378,C76,0.144,120,100,EXP1,0.14585714285714285,493633.69245837413,500000
379,C67,0.152,120,100,EXP1,0.16542857142857142,459412.780656304,500000
380,C68,0.161,120,100,EXP1,0.16914285714285715,475929.054054054,500000
381,REF,0.137,120,150,EXP1,0.13871428571428573,493820.80329557153,500000
382,C76,0.178,120,150,EXP1,0.15257142857142855,583333.3333333334,500000
383,C67,0.139,120,150,EXP1,0.14014285714285715,495922.52803261974,500000
384,C68,0.14,120,150,EXP1,0.14414285714285713,485629.33597621415,500000
385,REF,0.435,120,0,EXP2,0.3861428571428571,563263.0410654828,500000
386,C76,0.442,120,0,EXP2,0.35614285714285715,620537.5050140393,500000
387,C67,0.389,120,0,EXP2,0.3414285714285714,569665.2719665272,500000
388,C68,0.35,120,0,EXP2,0.335,522388.0597014925,500000
389,REF,0.462,120,10,EXP2,0.4005714285714286,576676.1768901569,500000
390,C76,0.356,120,10,EXP2,0.3007142857142857,591923.9904988124,500000
391,C67,0.316,120,10,EXP2,0.2904285714285714,544023.610427939,500000
392,C68,0.388,120,10,EXP2,0.31614285714285717,613646.6335291459,500000
393,REF,0.441,120,50,EXP2,0.36057142857142854,611529.3185419969,500000
394,C76,0.292,120,50,EXP2,0.2784285714285714,524371.4725500257,500000
395,C67,0.323,120,50,EXP2,0.2857142857142857,565250,500000
396,C68,0.303,120,50,EXP2,0.2865714285714286,528664.0079760718,500000
397,REF,0.343,120,75,EXP2,0.3142857142857143,545681.8181818182,500000
398,C76,0.254,120,75,EXP2,0.24457142857142858,519275.7009345794,500000
399,C67,0.258,120,75,EXP2,0.2392857142857143,539104.4776119402,500000
400,C68,0.274,120,75,EXP2,0.2654285714285714,516146.393972013,500000
401,REF,0.27,120,100,EXP2,0.2695714285714286,500794.9125596184,500000
402,C76,0.208,120,100,EXP2,0.213,488262.91079812206,500000
403,C67,0.198,120,100,EXP2,0.21114285714285716,468876.86062246276,500000
404,C68,0.276,120,100,EXP2,0.2672857142857143,516301.4430785676,500000
405,REF,0.245,120,150,EXP2,0.23399999999999999,523504.27350427356,500000
406,C76,0.186,120,150,EXP2,0.19557142857142856,475529.58363769174,500000
407,C67,0.177,120,150,EXP2,0.19357142857142856,457195.57195571956,500000
408,C68,0.172,120,150,EXP2,0.20085714285714285,428165.0071123756,500000
409,REF,0.446,120,0,EXP3,0.31871428571428573,699686.2393545496,500000
410,C76,0.453,120,0,EXP3,0.28785714285714287,786848.635235732,500000
411,C67,0.396,120,0,EXP3,0.2592857142857143,763636.3636363636,500000
412,C68,0.438,120,0,EXP3,0.256,855468.75,500000
413,REF,0.378,120,10,EXP3,0.2601428571428571,726523.8879736409,500000
414,C76,0.253,120,10,EXP3,0.19485714285714287,649193.5483870967,500000
415,C67,0.256,120,10,EXP3,0.1915714285714286,668158.0909768828,500000
416,C68,0.277,120,10,EXP3,0.19914285714285715,695480.631276901,500000
417,REF,0.255,120,50,EXP3,0.19085714285714286,668038.9221556886,500000
418,C76,0.256,120,50,EXP3,0.197,649746.192893401,500000
419,C67,0.254,120,50,EXP3,0.194,654639.1752577319,500000
420,C68,0.256,120,50,EXP3,0.18971428571428572,674698.7951807228,500000
421,REF,0.249,120,75,EXP3,0.18528571428571428,671935.2351580571,500000
422,C76,0.258,120,75,EXP3,0.19642857142857142,656727.2727272727,500000
423,C67,0.25,120,75,EXP3,0.19742857142857143,633140.3762662808,500000
424,C68,0.247,120,75,EXP3,0.18971428571428572,650978.9156626506,500000
425,REF,0.239,120,100,EXP3,0.18042857142857144,662311.9556611243,500000
426,C76,0.248,120,100,EXP3,0.196,632653.0612244898,500000
427,C67,0.249,120,100,EXP3,0.1997142857142857,623390.5579399142,500000
428,C68,0.244,120,100,EXP3,0.18885714285714286,645990.9228441755,500000
429,REF,0.251,120,150,EXP3,0.18485714285714286,678902.627511592,500000
430,C76,0.256,120,150,EXP3,0.193,663212.4352331606,500000
431,C67,0.255,120,150,EXP3,0.18828571428571428,677162.3672230652,500000
432,C68,0.231,120,150,EXP3,0.17342857142857143,665980.2306425041,500000
433,REF,0.362,144,0,EXP1,0.2267142857142857,798361.688720857,500000
434,C76,0.357,144,0,EXP1,0.20814285714285713,857584.0768702815,500000
435,C67,0.214,144,0,EXP1,0.163,656441.717791411,500000
436,C68,0.166,144,0,EXP1,0.16057142857142856,516903.9145907474,500000
437,REF,0.245,144,10,EXP1,0.1907142857142857,642322.0973782772,500000
438,C76,0.237,144,10,EXP1,0.20285714285714285,584154.9295774648,500000
439,C67,0.15,144,10,EXP1,0.17828571428571427,420673.07692307694,500000
440,C68,0.157,144,10,EXP1,0.17842857142857144,439951.9615692554,500000
441,REF,0.152,144,50,EXP1,0.1757142857142857,432520.325203252,500000
442,C76,0.155,144,50,EXP1,0.18585714285714286,416986.9331283628,500000
443,C67,0.146,144,50,EXP1,0.1814285714285714,402362.2047244095,500000
444,C68,0.145,144,50,EXP1,0.17485714285714285,414624.183006536,500000
445,REF,0.146,144,75,EXP1,0.15271428571428572,478016.83816651074,500000
446,C76,0.148,144,75,EXP1,0.18371428571428572,402799.37791601865,500000
447,C67,0.146,144,75,EXP1,0.174,419540.2298850575,500000
448,C68,0.145,144,75,EXP1,0.16428571428571428,441304.347826087,500000
449,REF,0.148,144,100,EXP1,0.16128571428571428,458813.1089459699,500000
450,C76,0.146,144,100,EXP1,0.14585714285714285,500489.7159647405,500000
451,C67,0.144,144,100,EXP1,0.16542857142857142,435233.1606217617,500000
452,C68,0.145,144,100,EXP1,0.16914285714285715,428631.75675675675,500000
453,REF,0.137,144,150,EXP1,0.13871428571428573,493820.80329557153,500000
454,C76,0.148,144,150,EXP1,0.15257142857142855,485018.72659176035,500000
455,C67,0.137,144,150,EXP1,0.14014285714285715,488786.95208970434,500000
456,C68,0.14,144,150,EXP1,0.14414285714285713,485629.33597621415,500000
457,REF,0.452,144,0,EXP2,0.3861428571428571,585275.61968183506,500000
458,C76,0.42,144,0,EXP2,0.35614285714285715,589651.0228640193,500000
459,C67,0.351,144,0,EXP2,0.3414285714285714,514016.73640167364,500000
460,C68,0.324,144,0,EXP2,0.335,483582.08955223876,500000
461,REF,0.404,144,10,EXP2,0.4005714285714286,504279.6005706134,500000
462,C76,0.411,144,10,EXP2,0.3007142857142857,683372.9216152019,500000
463,C67,0.343,144,10,EXP2,0.2904285714285714,590506.6404328579,500000
464,C68,0.31,144,10,EXP2,0.31614285714285717,490284.6814279258,500000
465,REF,0.42,144,50,EXP2,0.36057142857142854,582408.8748019018,500000
466,C76,0.323,144,50,EXP2,0.2784285714285714,580041.0466906106,500000
467,C67,0.338,144,50,EXP2,0.2857142857142857,591500,500000
468,C68,0.285,144,50,EXP2,0.2865714285714286,497258.2253240279,500000
469,REF,0.34,144,75,EXP2,0.3142857142857143,540909.0909090909,500000
470,C76,0.229,144,75,EXP2,0.24457142857142858,468165.8878504673,500000
471,C67,0.262,144,75,EXP2,0.2392857142857143,547462.6865671641,500000
472,C68,0.241,144,75,EXP2,0.2654285714285714,453982.77717976324,500000
473,REF,0.275,144,100,EXP2,0.2695714285714286,510068.8924218336,500000
474,C76,0.202,144,100,EXP2,0.213,474178.40375586855,500000
475,C67,0.203,144,100,EXP2,0.21114285714285716,480717.18538565625,500000
476,C68,0.279,144,100,EXP2,0.2672857142857143,521913.4152859433,500000
477,REF,0.238,144,150,EXP2,0.23399999999999999,508547.00854700856,500000
478,C76,0.176,144,150,EXP2,0.19557142857142856,449963.476990504,500000
479,C67,0.164,144,150,EXP2,0.19357142857142856,423616.23616236163,500000
480,C68,0.176,144,150,EXP2,0.20085714285714285,438122.332859175,500000
481,REF,0.387,144,0,EXP3,0.31871428571428573,607126.8489466606,500000
482,C76,0.344,144,0,EXP3,0.28785714285714287,597518.6104218363,500000
483,C67,0.313,144,0,EXP3,0.2592857142857143,603581.2672176309,500000
484,C68,0.295,144,0,EXP3,0.256,576171.875,500000
485,REF,0.294,144,10,EXP3,0.2601428571428571,565074.1350906095,500000
486,C76,0.145,144,10,EXP3,0.19485714285714287,372067.4486803519,500000
487,C67,0.14,144,10,EXP3,0.1915714285714286,365398.9560029828,500000
488,C68,0.158,144,10,EXP3,0.19914285714285715,396700.14347202296,500000
489,REF,0.149,144,50,EXP3,0.19085714285714286,390344.31137724547,500000
490,C76,0.149,144,50,EXP3,0.197,378172.5888324873,500000
491,C67,0.143,144,50,EXP3,0.194,368556.7010309278,500000
492,C68,0.139,144,50,EXP3,0.18971428571428572,366340.3614457831,500000
493,REF,0.144,144,75,EXP3,0.18528571428571428,388589.0516576716,500000
494,C76,0.146,144,75,EXP3,0.19642857142857142,371636.36363636365,500000
495,C67,0.145,144,75,EXP3,0.19742857142857143,367221.4182344428,500000
496,C68,0.142,144,75,EXP3,0.18971428571428572,374246.9879518072,500000
497,REF,0.138,144,100,EXP3,0.18042857142857144,382422.80285035627,500000
498,C76,0.141,144,100,EXP3,0.196,359693.8775510204,500000
499,C67,0.145,144,100,EXP3,0.1997142857142857,363018.5979971388,500000
500,C68,0.139,144,100,EXP3,0.18885714285714286,368003.0257186082,500000
501,REF,0.142,144,150,EXP3,0.18485714285714286,384080.370942813,500000
502,C76,0.142,144,150,EXP3,0.193,367875.6476683938,500000
503,C67,0.141,144,150,EXP3,0.18828571428571428,374430.9559939302,500000
504,C68,0.142,144,150,EXP3,0.17342857142857143,409390.4448105437,500000
