X,pop,abs,tempo,conc,experiment,abs_norm,n_parasitos,n_base
86,C76,0.182,24,75,EXP1,0.18371428571428572,495334.3701399689,500000
87,C67,0.164,24,75,EXP1,0.174,471264.367816092,500000
88,C68,0.148,24,75,EXP1,0.16428571428571428,450434.7826086957,500000
89,REF,0.155,24,100,EXP1,0.16128571428571428,480513.7289636847,500000
90,C76,0.141,24,100,EXP1,0.14585714285714285,483349.6571988247,500000
91,C67,0.151,24,100,EXP1,0.16542857142857142,456390.3281519862,500000
92,C68,0.162,24,100,EXP1,0.16914285714285715,478885.1351351351,500000
93,REF,0.14,24,150,EXP1,0.13871428571428573,504634.39752832125,500000
94,C76,0.144,24,150,EXP1,0.15257142857142855,471910.1123595506,500000
95,C67,0.141,24,150,EXP1,0.14014285714285715,503058.10397553514,500000
96,C68,0.15,24,150,EXP1,0.14414285714285713,520317.14568880084,500000
97,REF,0.291,24,0,EXP2,0.3861428571428571,376803.551609323,500000
98,C76,0.217,24,0,EXP2,0.35614285714285715,304653.0284797433,500000
99,C67,0.236,24,0,EXP2,0.3414285714285714,345606.6945606695,500000
100,C68,0.253,24,0,EXP2,0.335,377611.94029850746,500000
101,REF,0.291,24,10,EXP2,0.4005714285714286,363231.0984308131,500000
102,C76,0.213,24,10,EXP2,0.3007142857142857,354156.7695961995,500000
103,C67,0.214,24,10,EXP2,0.2904285714285714,368421.05263157893,500000
104,C68,0.238,24,10,EXP2,0.31614285714285717,376412.1102575689,500000
105,REF,0.278,24,50,EXP2,0.36057142857142854,385499.20760697307,500000
106,C76,0.22,24,50,EXP2,0.2784285714285714,395074.3971267317,500000
107,C67,0.224,24,50,EXP2,0.2857142857142857,392000,500000
108,C68,0.239,24,50,EXP2,0.2865714285714286,416999.0029910269,500000
109,REF,0.261,24,75,EXP2,0.3142857142857143,415227.27272727276,500000
110,C76,0.228,24,75,EXP2,0.24457142857142858,466121.4953271028,500000
111,C67,0.222,24,75,EXP2,0.2392857142857143,463880.5970149253,500000
112,C68,0.246,24,75,EXP2,0.2654285714285714,463401.50699677074,500000
113,REF,0.229,24,100,EXP2,0.2695714285714286,424748.27768945415,500000
114,C76,0.22,24,100,EXP2,0.213,516431.92488262913,500000
115,C67,0.225,24,100,EXP2,0.21114285714285716,532814.6143437077,500000
116,C68,0.239,24,100,EXP2,0.2672857142857143,447087.1191876002,500000
117,REF,0.193,24,150,EXP2,0.23399999999999999,412393.16239316243,500000
118,C76,0.169,24,150,EXP2,0.19557142857142856,432067.20233747264,500000
119,C67,0.198,24,150,EXP2,0.19357142857142856,511439.11439114396,500000
120,C68,0.211,24,150,EXP2,0.20085714285714285,525248.93314367,500000
121,REF,0.188,24,0,EXP3,0.31871428571428573,294935.0067234424,500000
122,C76,0.169,24,0,EXP3,0.28785714285714287,293548.3870967742,500000
123,C67,0.167,24,0,EXP3,0.2592857142857143,322038.56749311293,500000
124,C68,0.167,24,0,EXP3,0.256,326171.875,500000
125,REF,0.185,24,10,EXP3,0.2601428571428571,355573.8605161999,500000
126,C76,0.185,24,10,EXP3,0.19485714285714287,474706.74486803514,500000
127,C67,0.184,24,10,EXP3,0.1915714285714286,480238.6278896346,500000
128,C68,0.193,24,10,EXP3,0.19914285714285715,484576.75753228116,500000
129,REF,0.186,24,50,EXP3,0.19085714285714286,487275.4491017964,500000
130,C76,0.194,24,50,EXP3,0.197,492385.78680203046,500000
131,C67,0.186,24,50,EXP3,0.194,479381.44329896907,500000
132,C68,0.191,24,50,EXP3,0.18971428571428572,503388.55421686743,500000
133,REF,0.185,24,75,EXP3,0.18528571428571428,499228.9899768697,500000
134,C76,0.195,24,75,EXP3,0.19642857142857142,496363.63636363635,500000
135,C67,0.194,24,75,EXP3,0.19742857142857143,491316.9319826339,500000
136,C68,0.191,24,75,EXP3,0.18971428571428572,503388.55421686743,500000
137,REF,0.179,24,100,EXP3,0.18042857142857144,496041.1718131433,500000
138,C76,0.194,24,100,EXP3,0.196,494897.95918367343,500000
139,C67,0.195,24,100,EXP3,0.1997142857142857,488197.4248927039,500000
140,C68,0.19,24,100,EXP3,0.18885714285714286,503025.7186081694,500000
141,REF,0.174,24,150,EXP3,0.18485714285714286,470633.69397217926,500000
142,C76,0.188,24,150,EXP3,0.193,487046.6321243523,500000
143,C67,0.178,24,150,EXP3,0.18828571428571428,472685.8877086495,500000
144,C68,0.177,24,150,EXP3,0.17342857142857143,510296.5403624382,500000
145,REF,0.16,48,0,EXP1,0.2267142857142857,352867.0447385003,500000
146,C76,0.148,48,0,EXP1,0.20814285714285713,355525.0514756349,500000
147,C67,0.143,48,0,EXP1,0.163,438650.3067484662,500000
148,C68,0.141,48,0,EXP1,0.16057142857142856,439056.9395017794,500000
149,REF,0.16,48,10,EXP1,0.1907142857142857,419475.65543071163,500000
150,C76,0.154,48,10,EXP1,0.20285714285714285,379577.4647887324,500000
151,C67,0.146,48,10,EXP1,0.17828571428571427,409455.12820512825,500000
152,C68,0.149,48,10,EXP1,0.17842857142857144,417534.0272217774,500000
153,REF,0.153,48,50,EXP1,0.1757142857142857,435365.85365853657,500000
154,C76,0.151,48,50,EXP1,0.18585714285714286,406225.9800153728,500000
155,C67,0.151,48,50,EXP1,0.1814285714285714,416141.73228346463,500000
156,C68,0.146,48,50,EXP1,0.17485714285714285,417483.66013071896,500000
157,REF,0.15,48,75,EXP1,0.15271428571428572,491113.1898971001,500000
158,C76,0.148,48,75,EXP1,0.18371428571428572,402799.37791601865,500000
159,C67,0.146,48,75,EXP1,0.174,419540.2298850575,500000
160,C68,0.15,48,75,EXP1,0.16428571428571428,456521.7391304348,500000
161,REF,0.151,48,100,EXP1,0.16128571428571428,468113.37466784765,500000
162,C76,0.145,48,100,EXP1,0.14585714285714285,497061.70421155734,500000
163,C67,0.146,48,100,EXP1,0.16542857142857142,441278.06563039724,500000
164,C68,0.149,48,100,EXP1,0.16914285714285715,440456.08108108107,500000
165,REF,0.141,48,150,EXP1,0.13871428571428573,508238.92893923784,500000
166,C76,0.146,48,150,EXP1,0.15257142857142855,478464.4194756555,500000
167,C67,0.143,48,150,EXP1,0.14014285714285715,510193.67991845054,500000
168,C68,0.143,48,150,EXP1,0.14414285714285713,496035.67888999014,500000
169,REF,0.373,48,0,EXP2,0.3861428571428571,482981.87199408066,500000
170,C76,0.308,48,0,EXP2,0.35614285714285715,432410.7501002808,500000
171,C67,0.324,48,0,EXP2,0.3414285714285714,474476.9874476988,500000
172,C68,0.382,48,0,EXP2,0.335,570149.2537313432,500000
173,REF,0.392,48,10,EXP2,0.4005714285714286,489300.9985734665,500000
174,C76,0.215,48,10,EXP2,0.3007142857142857,357482.1852731591,500000
175,C67,0.217,48,10,EXP2,0.2904285714285714,373585.8337432366,500000
