,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.452,0.42,0.351,0.324,,,,,,,
C,,0.404,0.411,0.343,0.31,,,,,,,
D,,0.42,0.323,0.338,0.285,,,,,,,
E,,0.34,0.229,0.262,0.241,,,,,,,
F,,0.275,0.202,0.203,0.279,,,,,,,
G,,0.238,0.176,0.164,0.176,,,,,,,
H,,,,,,,,,,,,
