,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.143,0.139,0.137,0.204,,,,,,,
C,,0.177,0.279,0.269,0.261,,,,,,,
D,,0.228,0.284,0.283,0.266,,,,,,,
E,,0.176,0.284,0.28,0.253,,,,,,,
F,,0.208,0.153,0.267,0.263,,,,,,,
G,,0.138,0.142,0.14,0.15,,,,,,,
H,,,,,,,,,,,,
