,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.233,0.184,0.162,0.159,,,,,,,
C,,0.192,0.169,0.165,0.163,,,,,,,
D,,0.168,0.174,0.167,0.161,,,,,,,
E,,0.149,0.171,0.171,0.165,,,,,,,
F,,0.153,0.173,0.174,0.163,,,,,,,
G,,0.172,0.172,0.171,0.156,,,,,,,
H,,,,,,,,,,,,
