,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.322,0.296,0.191,0.168,,,,,,,
C,,0.217,0.209,0.181,0.183,,,,,,,
D,,0.189,0.189,0.185,0.178,,,,,,,
E,,0.151,0.189,0.172,0.153,,,,,,,
F,,0.158,0.144,0.152,0.161,,,,,,,
G,,0.137,0.178,0.139,0.14,,,,,,,
H,,,,,,,,,,,,
