,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.266,0.201,0.147,0.144,,,,,,,
C,,0.18,0.169,0.148,0.153,,,,,,,
D,,0.153,0.154,0.147,0.147,,,,,,,
E,,0.149,0.149,0.146,0.148,,,,,,,
F,,0.15,0.146,0.145,0.147,,,,,,,
G,,0.139,0.146,0.14,0.144,,,,,,,
H,,,,,,,,,,,,
