,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.387,0.344,0.313,0.295,,,,,,,
C,,0.294,0.145,0.14,0.158,,,,,,,
D,,0.149,0.149,0.143,0.139,,,,,,,
E,,0.144,0.146,0.145,0.142,,,,,,,
F,,0.138,0.141,0.145,0.139,,,,,,,
G,,0.142,0.142,0.141,0.142,,,,,,,
H,,,,,,,,,,,,
