,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.492,0.457,0.465,0.431,,,,,,,
C,,0.555,0.399,0.416,0.423,,,,,,,
D,,0.487,0.382,0.378,0.437,,,,,,,
E,,0.44,0.32,0.303,0.365,,,,,,,
F,,0.365,0.276,0.272,0.359,,,,,,,
G,,0.303,0.27,0.261,0.238,,,,,,,
H,,,,,,,,,,,,
