,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.146,0.148,0.147,0.144,,,,,,,
C,,0.173,0.178,0.173,0.173,,,,,,,
D,,0.177,0.18,0.177,0.174,,,,,,,
E,,0.146,0.182,0.164,0.148,,,,,,,
F,,0.155,0.141,0.151,0.162,,,,,,,
G,,0.14,0.144,0.141,0.15,,,,,,,
H,,,,,,,,,,,,
