,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.188,0.168,0.162,0.157,,,,,,,
C,,0.183,0.194,0.181,0.173,,,,,,,
D,,0.178,0.188,0.181,0.168,,,,,,,
E,,0.151,0.186,0.164,0.153,,,,,,,
F,,0.159,0.146,0.153,0.157,,,,,,,
G,,0.139,0.164,0.141,0.142,,,,,,,
H,,,,,,,,,,,,
