,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.435,0.442,0.389,0.35,,,,,,,
C,,0.462,0.356,0.316,0.388,,,,,,,
D,,0.441,0.292,0.323,0.303,,,,,,,
E,,0.343,0.254,0.258,0.274,,,,,,,
F,,0.27,0.208,0.198,0.276,,,,,,,
G,,0.245,0.186,0.177,0.172,,,,,,,
H,,,,,,,,,,,,
