,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.399,0.331,0.297,0.281,,,,,,,
C,,0.284,0.17,0.17,0.172,,,,,,,
D,,0.15,0.152,0.171,0.162,,,,,,,
E,,0.149,0.149,0.172,0.164,,,,,,,
F,,0.144,0.165,0.178,0.162,,,,,,,
G,,0.148,0.17,0.169,0.146,,,,,,,
H,,,,,,,,,,,,
