,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.362,0.357,0.214,0.166,,,,,,,
C,,0.245,0.237,0.15,0.157,,,,,,,
D,,0.152,0.155,0.146,0.145,,,,,,,
E,,0.146,0.148,0.146,0.145,,,,,,,
F,,0.148,0.146,0.144,0.145,,,,,,,
G,,0.137,0.148,0.137,0.14,,,,,,,
H,,,,,,,,,,,,
