,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.16,0.148,0.143,0.141,,,,,,,
C,,0.16,0.154,0.146,0.149,,,,,,,
D,,0.153,0.151,0.151,0.146,,,,,,,
E,,0.15,0.148,0.146,0.15,,,,,,,
F,,0.151,0.145,0.146,0.149,,,,,,,
G,,0.141,0.146,0.143,0.143,,,,,,,
H,,,,,,,,,,,,
