"Estimate","Std. Error","t-value","p-value","2.5 %","97.5 %","coef","pop","conc","minimo","maximo","TempDupliDias","TempDupliHoras"
-7.35595944908189,7.19637942225993,-1.02217504351262,0.32865269401298,-23.1950837638648,8.48316486570106,"GrowthRate","REF","0",0.208333333333333,0.401,0.264535192523143,6.34884462055544
-6.83422644258917,6.10811862423189,-1.11887585409306,0.287031165157885,-20.2781048906029,6.60965200542457,"GrowthRate","C76","0",0.178,0.397,0.219174099528501,5.26017838868403
-7.40891699366195,22.0134815969361,-0.336562708676357,0.742779846222049,-55.8602633104687,41.0424293231448,"GrowthRate","C68","0",0.188,0.318666666666667,0.218097841310235,5.23434819144565
-7.91699693572575,12.2588814252662,-0.645817237403766,0.531638949193876,-34.8986130320597,19.0646191606082,"GrowthRate","C67","0",0.183333333333333,0.325333333333333,0.196810056982006,4.72344136756814
-7.25247281503949,14.307536990855,-0.506898763894516,0.622232757959811,-38.7431494093736,24.2382037792947,"GrowthRate","REF","10",0.216333333333333,0.352333333333333,0.293871023868224,7.05290457283737
-18.4145333123057,77.354544749465,-0.238053670562557,0.816215650275463,-188.670738371523,151.841671746911,"GrowthRate","C76","10",0.179333333333333,0.272666666666667,0.082132310949363,1.97117546278471
-21.1001577233742,88.7719632186315,-0.237689434347732,0.816491134589627,-216.485931399783,174.285615953034,"GrowthRate","C68","10",0.201333333333333,0.282666666666667,0.085986740717901,2.06368177722962
-15.429498269839,53.4509575455328,-0.288666451984424,0.778203805495156,-133.074262620245,102.215266080567,"GrowthRate","C67","10",0.176,0.251,0.0957048892169561,2.29691734120695
-0.667312921281644,3.98898349992975,-0.167288965044201,0.870178434406888,-9.44700640847743,8.11238056591414,"GrowthRate","REF","50",0.212,0.295,3.03511929084127,72.8428629801905
-15.0962695847962,42.8870787114705,-0.352000416870516,0.73148880508163,-109.490093388425,79.2975542188323,"GrowthRate","C76","50",0.177666666666667,0.245666666666667,0.0989847944566237,2.37563506695897
0.0851407434470659,2.22998534387092,0.0381799565100613,0.970228306598295,-4.82302390563469,4.99330539252882,"GrowthRate","C68","50",0.177666666666667,0.245666666666667,17.5509524748498,421.222859396396
-0.879767240008629,2.13831045782289,-0.41143101404665,0.68865886368428,-5.58615682534557,3.82662234532831,"GrowthRate","C67","50",0.177,0.254,1.69043903255556,40.5705367813335
-16.6137546647622,67.2963773684047,-0.246874427932613,0.809552211960507,-164.732082580548,131.504573251023,"GrowthRate","REF","75",0.189333333333333,0.247666666666667,0.0983116797236139,2.35948031336673
0.473479280523792,NA,NA,NA,NA,NA,"GrowthRate","C76","75",0.171666666666667,0.233666666666667,3.02665013227737,72.6396031746569
0.377787508814084,16.6378041749703,0.022706572624675,0.982290998610408,-36.2417725768062,36.9973475944344,"GrowthRate","C68","75",0.176,0.224666666666667,3.90875396389789,93.8100951335493
-16.5272655594375,34.7336532523998,-0.475828598832909,0.643506238386767,-92.975520923738,59.9209898048631,"GrowthRate","C67","75",0.165666666666667,0.226666666666667,0.0833387286167195,2.00012948680127
0.185783829617825,6.80799145246012,0.0272890809154425,0.978717957472558,-14.7985043272776,15.1700719865133,"GrowthRate","REF","100",0.175333333333333,0.222333333333333,7.91115811753338,189.867794820801
-0.0958813964901269,3.33765672707286,-0.0287271593008354,0.977596765723623,-7.44201432225752,7.25025152927726,"GrowthRate","C76","100",0.161,0.2,13.9481044978941,334.754507949459
-14.4471383526802,47.872782448349,-0.301781881349125,0.768447226508687,-119.814422093792,90.9201453884315,"GrowthRate","C68","100",0.176,0.227,0.102212520330313,2.4531004879275
7.77601706978943,32.8452754402234,0.23674689785876,0.817204127265663,-64.5159467532647,80.0679808928436,"GrowthRate","C67","100",0.162666666666667,0.199666666666667,0.173782970633693,4.17079129520864
-0.21519596401542,3.53151846879521,-0.0609358172460116,0.952503375828754,-7.98801570642322,7.55762377839238,"GrowthRate","REF","150",0.169,0.211,6.54133653084572,156.992076740297
-0.25127581301247,1.66282841552477,-0.151113494733713,0.882621806864769,-3.91113647936117,3.40858485333623,"GrowthRate","C76","150",0.155333333333333,0.206666666666667,5.14261918572736,123.422860457457
0.420572256260749,6.57428165981897,0.063972351356837,0.950139975134042,-14.0493241152634,14.8904686277849,"GrowthRate","C68","150",0.152666666666667,0.181,3.02479158125048,72.5949979500114
0.18955876627017,4.14678402312629,0.0457122351231738,0.964358933869907,-8.9374513307359,9.31656886327624,"GrowthRate","C67","150",0.147333333333333,0.190333333333333,6.51004358028926,156.241045926942
