"Estimate","Std. Error","t-value","p-value","2.5 %","97.5 %","coef","pop"
-0.0554256688231597,0.0821361911698357,-0.674802033473336,0.508875718020532,-0.228717884457174,0.117866546810855,"GrowthRate","REF_C0"
0.24701438272753,0.033263879944019,7.4259041080968,9.90800679326762e-07,0.176833730642461,0.317195034812598,"c","REF_C0"
0.405579661614315,0.059056084772206,6.86770318721156,2.72907905963206e-06,0.28098221399607,0.53017710923256,"d","REF_C0"
67.2842229511994,36.2833709755514,1.85440936556135,0.0811114591907608,-9.2669983493241,143.835444251723,"e","REF_C0"
-0.132823273180074,0.370234541307358,-0.358754406628439,0.72419552488312,-0.913949875882311,0.648303329522163,"GrowthRate","C76_C0"
0.222665606379926,0.0274646941326407,8.1073397469698,3.04275472844321e-07,0.164720166858453,0.280611045901399,"c","C76_C0"
0.386488200338951,0.0414452866837514,9.32526304590563,4.26745356637098e-08,0.299046288865805,0.473930111812098,"d","C76_C0"
89.8832164734147,19.8989261857144,4.5169882854253,0.000304488830814842,47.9001520246391,131.86628092219,"e","C76_C0"
-0.0498643628647308,0.0979142004708572,-0.509265894272121,0.617112452652806,-0.25644526830924,0.156716542579778,"GrowthRate","C68_C0"
0.223044806456646,0.0332639961608336,6.70529197328578,3.69400593407575e-06,0.152863909175532,0.293225703737761,"c","C68_C0"
0.29069789238368,0.0479473725799614,6.06285343162204,1.2672538122499e-05,0.189537778798299,0.39185800596906,"d","C68_C0"
64.2879206655132,59.9759425266505,1.07189512923364,0.298748978922678,-62.2502571724496,190.826098503476,"e","C68_C0"
-0.069951125786627,0.175521971584884,-0.398532019410447,0.695199058361134,-0.440270115688432,0.300367864115179,"GrowthRate","C67_C0"
0.2189751956118,0.0297293956875507,7.36561206669588,1.1031501301055e-06,0.156251653470635,0.281698737752965,"c","C67_C0"
0.309634539462483,0.0481652854967052,6.42858308155702,6.2389033517457e-06,0.208014669810745,0.411254409114221,"d","C67_C0"
74.8392752729533,67.691269671342,1.10559715656563,0.284302544813733,-67.9768199629601,217.655370508867,"e","C67_C0"
