"Estimate","Std. Error","t-value","p-value","2.5 %","97.5 %","coef","pop"
0.185783829617825,6.80799145246012,0.0272890809154425,0.978717957472558,-14.7985043272776,15.1700719865133,"GrowthRate","REF_C100"
0.285075275021469,4.19339904437855,0.0679819096643391,0.947020019276591,-8.94453379199819,9.51468434204113,"c","REF_C100"
-0.0292562434607756,3.83654979289139,-0.0076256649959251,0.994052200406946,-8.47344540356737,8.41493291664582,"d","REF_C100"
0.468159445355372,22.8331126141838,0.020503531571274,0.984008887690134,-49.7871825771643,50.7235014678751,"e","REF_C100"
-0.0958813964901269,3.33765672707286,-0.0287271593008354,0.977596765723623,-7.44201432225752,7.25025152927726,"GrowthRate","C76_C100"
0.210590868457909,1.43560164044224,0.146691716229187,0.886029282954736,-2.94914703795868,3.3703287748745,"c","C76_C100"
0.129442978919259,1.23995049837207,0.104393666593307,0.918736083949795,-2.59966966724589,2.85855562508441,"d","C76_C100"
1840.52503901839,NA,NA,NA,NA,NA,"e","C76_C100"
-14.4471383526802,47.872782448349,-0.301781881349125,0.768447226508687,-119.814422093792,90.9201453884315,"GrowthRate","C68_C100"
0.186339189117998,0.0237863360542146,7.83387524220998,7.97014581998099e-06,0.133985816449719,0.238692561786277,"c","C68_C100"
0.207052429859373,0.0244793814782727,8.4582378048705,3.8316266230488e-06,0.153173674497473,0.260931185221273,"d","C68_C100"
72.4819970338966,34.2576909905283,2.11578757756723,0.0579921238824137,-2.91867245526112,147.882666523054,"e","C68_C100"
7.77601706978943,32.8452754402234,0.23674689785876,0.817204127265663,-64.5159467532647,80.0679808928436,"GrowthRate","C67_C100"
0.175000704149044,0.0104167642380142,16.7999102360797,3.43836536807115e-09,0.152073560645001,0.197927847653086,"c","C67_C100"
0.654409049487223,19.4236433330105,0.0336913646048604,0.973726848089017,-42.0967416813818,43.4055597803562,"d","C67_C100"
15.4698612479093,90.8107262083038,0.170352797448444,0.867825524310682,-184.403199513712,215.342922009531,"e","C67_C100"
